group,profile,case,operations,successful,failed,client_p50_ms,client_p95_ms,mean_network_reads,mean_network_bytes,mean_object_reads,mean_object_bytes,mean_cas_retries
point,small,point-snapshot,168,168,0,374.863,1446.858,2,2944,2,2944,
point,small,point-trie,168,168,0,757.525,2312.646,4,1736,4,1736,
point,small,bundle-snapshot,168,168,0,371.885,1253.231,1,52699,2,2944,
point,small,bundle-trie,168,168,0,722.784,3129.053,1,3958,4,1736,
queries,small,covered-equality-snapshot,70,70,0,377.734,1371.21,2,2353,2,2353,
queries,small,covered-equality-trie,70,70,0,379.81,1563.82,2,2328,2,2328,
queries,small,uncovered-equality-snapshot,70,70,0,579.269,2261.582,3,4964,3,4964,
queries,small,uncovered-equality-trie,70,70,0,945.361,3732.839,5,3691,5,3691,
queries,small,covered-range-snapshot,70,70,0,384.375,1990.83,2,2650,2,2650,
queries,small,covered-range-trie,70,70,0,374.209,1583.731,2,2625,2,2625,
scans,small,scan-snapshot,28,28,0,376.375,1701.38,2,2944,2,2944,
scans,small,scan-trie,28,28,0,1100.527,6163.249,119,33077,119,33077,
point,medium,point-snapshot,168,168,0,418.722,1755.953,2,88032,2,88032,
point,medium,point-trie,168,168,0,771.323,3009.575,4,2747,4,2747,
point,medium,bundle-snapshot,168,168,0,509.543,1452.579,1,2038593,2,88032,
point,medium,bundle-trie,168,168,0,737.664,2751.172,1,13253,4,2747,
queries,medium,covered-equality-snapshot,70,70,0,465.043,1886.274,2,66181,2,66181,
queries,medium,covered-equality-trie,70,70,0,428.137,1123.796,2,66154,2,66154,
queries,medium,uncovered-equality-snapshot,70,70,0,1080.953,3475.868,3,153876,3,153876,
queries,medium,uncovered-equality-trie,70,70,0,1118.779,6308.081,36,93839,36,93839,
queries,medium,covered-range-snapshot,70,70,0,473.976,1612.962,2,80445,2,80445,
queries,medium,covered-range-trie,70,70,0,510.99,1919.188,2,80418,2,80418,
scans,medium,scan-snapshot,28,28,0,434.504,2143.406,2,88032,2,88032,
scans,medium,scan-trie,28,27,1,1979.304,11090.788,274,205923,274,205923,
point,large,point-snapshot,168,168,0,642.079,1617.177,2,448462,2,448462,
point,large,point-trie,168,168,0,767.083,3229.821,4,4696,4,4696,
point,large,bundle-snapshot,168,167,1,836.03,2475.298,3,448462,4,896924,
point,large,bundle-trie,168,168,0,719.784,2685.031,1,45868,4,4696,
queries,large,covered-equality-snapshot,70,70,0,804.155,1691.959,2,326397,2,326397,
queries,large,covered-equality-trie,70,70,0,798.533,2061.049,2,326370,2,326370,
queries,large,uncovered-equality-snapshot,70,70,0,17994.228,30700.947,3,774520,3,774520,
queries,large,uncovered-equality-trie,70,70,0,1996.235,8929.575,117,602495,117,602495,
queries,large,covered-range-snapshot,70,70,0,1044.55,2115.295,2,397329,2,397329,
queries,large,covered-range-trie,70,70,0,1025.997,2018.8,2,397302,2,397302,
scans,large,scan-snapshot,28,28,0,645.521,1086.593,2,448462,2,448462,
scans,large,scan-trie,28,26,2,2007.041,7354.849,274,693765,274,693765,
writes,large,write-snapshot,112,112,0,5596.317,16754.829,,,4,810653,0
writes,large,write-trie,112,112,0,6438.558,20177.484,,,8,366265,0
contention,large,contention-snapshot,70,66,4,11332.983,72483.536,,,10.485,2841930,1.621
contention,large,contention-trie,70,69,1,14356.405,85319.013,,,25.739,2090717,2.217
